,local_timestamp,side,price,amount
40701,1722472702444223,sell,0.0110846,79261
40702,1722472702444228,sell,0.0110844,21606
40703,1722472702444229,sell,0.0110841,9147
40704,1722472702444232,sell,0.011084,1489
40705,1722472702444235,sell,0.011084,80580
40706,1722472702448601,sell,0.011086,4438
40707,1722472702450975,buy,0.0110849,86423
40708,1722472702450980,buy,0.0110851,81022
40709,1722472702450981,buy,0.0110852,36544
40710,1722472702450982,buy,0.0110853,58997
40711,1722472702450986,buy,0.0110853,13325
40712,1722472703611661,sell,0.0110852,1874
40713,1722472703633797,sell,0.0110852,1069
40714,1722472704430063,sell,0.0110852,15179
40715,1722472706122720,buy,0.0110853,1192
40716,1722472706150890,buy,0.0110853,1000
40717,1722472706219010,sell,0.0110852,1748
40718,1722472706219014,sell,0.0110852,8216
40719,1722472706226074,sell,0.0110852,81473
40720,1722472706226081,sell,0.0110852,11348
40721,1722472706226082,sell,0.0110852,1042
40722,1722472706226082,sell,0.0110852,23764
40723,1722472706226083,sell,0.0110852,1489
40724,1722472706226083,sell,0.0110852,549
40725,1722472706263889,sell,0.0110847,64394
40726,1722472706263891,sell,0.0110847,1489
40727,1722472706263892,sell,0.011084,1489
40728,1722472706263901,sell,0.011084,89614
40729,1722472706263902,sell,0.0110835,113645
40730,1722472706629248,buy,0.0110839,2292
40731,1722472707548511,buy,0.0110853,4097
40732,1722472707548515,buy,0.0110853,9075
40733,1722472707548520,buy,0.0110853,4270
40734,1722472707548521,buy,0.0110853,7537
40735,1722472707550696,buy,0.0110853,905
40736,1722472707550697,buy,0.0110853,7739
40737,1722472708935647,buy,0.0110853,1000
40738,1722472709044619,buy,0.0110853,4798
40739,1722472709124009,buy,0.0110853,15112
40740,1722472709124010,buy,0.0110853,12668
40741,1722472709124013,buy,0.0110853,39441
40742,1722472709194110,buy,0.0110859,25978
40743,1722472709626481,sell,0.0110859,89683
40744,1722472709626485,sell,0.0110859,2680
40745,1722472709626490,sell,0.0110859,1489
